accuracy,sparsity,seed,model,dataset,layer_id,layer_name,iterative_spectral_gap,iterative_degree_bound,degree_bound,layer_sparsity,no_weights,no_params
0.7412,0.98,0,Resnet-20,CIFAR-10,11,layer2.1.conv2,,,-0.5790208524694892,0.0086805559694767,80.0,9216.0
0.7412,0.98,0,Resnet-20,CIFAR-10,12,layer2.2.conv1,,,-0.4388890375614712,0.0068359375,63.0,9216.0
0.7412,0.98,0,Resnet-20,CIFAR-10,13,layer2.2.conv2,,,-0.3650980940633354,0.0080295139923691,74.0,9216.0
0.7412,0.98,0,Resnet-20,CIFAR-10,14,layer3.0.conv1,,,-0.4200672683471986,0.0044487845152616,82.0,18432.0
0.7412,0.98,0,Resnet-20,CIFAR-10,15,layer3.0.conv2,,,-0.7140473057056896,0.0007866753730922,29.0,36864.0
0.7412,0.98,0,Resnet-20,CIFAR-10,16,layer3.0.shortcut.0,,,0.0323256986423312,0.12646484375,259.0,2048.0
0.7412,0.98,0,Resnet-20,CIFAR-10,17,layer3.1.conv1,,,-0.3457173971036745,0.0012478298740461,46.0,36864.0
0.7412,0.98,0,Resnet-20,CIFAR-10,18,layer3.1.conv2,,,-0.662093974121401,0.0021430121269077,79.0,36864.0
0.7412,0.98,0,Resnet-20,CIFAR-10,19,layer3.2.conv1,,,-0.7782615002959957,0.0014105902519077,52.0,36864.0
0.7412,0.98,0,Resnet-20,CIFAR-10,20,layer3.2.conv2,,,-0.3143005207200194,0.0049099391326308,181.0,36864.0
0.7412,0.98,0,Resnet-20,CIFAR-10,21,linear,3.887520253658295,0.6992460907961608,0.5663857687516118,0.864062488079071,553.0,640.0
0.746,0.98,1,Resnet-20,CIFAR-10,0,conv1,2.431453347206116,0.4962621895289311,0.3857936402019812,0.6157407164573669,266.0,432.0
0.746,0.98,1,Resnet-20,CIFAR-10,1,layer1.0.conv1,0.9468761285146078,0.2206578842930766,0.1235981713031849,0.2847222089767456,656.0,2304.0
0.746,0.98,1,Resnet-20,CIFAR-10,2,layer1.0.conv2,0.6797521829605102,0.155338805767734,0.1307971871592583,0.2621527910232544,604.0,2304.0
0.746,0.98,1,Resnet-20,CIFAR-10,3,layer1.1.conv1,0.7096692323684692,0.181895746867488,0.0397468031106598,0.2018229216337204,465.0,2304.0
0.746,0.98,1,Resnet-20,CIFAR-10,4,layer1.1.conv2,0.3619394699732463,0.1441364062614333,-0.0332395314825043,0.1440972238779068,332.0,2304.0
0.746,0.98,1,Resnet-20,CIFAR-10,5,layer1.2.conv1,0.2963976860046386,0.126165304132134,0.0235356221674632,0.1532118022441864,353.0,2304.0
0.746,0.98,1,Resnet-20,CIFAR-10,6,layer1.2.conv2,0.2756206393241882,0.1628790428928809,-0.115662789720233,0.125,288.0,2304.0
